	champion	ck_rate	cs_per_min	kda	result	timestamp
456	카직스	45	4	3.75	승리	2017년 2월 5일 오후 4시 32분
457	엘리스	86	2.8	0.86	패배	2017년 2월 5일 오후 3시 56분
458	엘리스	43	3.7	2.11	승리	2017년 2월 5일 오후 3시 24분
459	블리츠크랭크	39	1.7	1.13	패배	2017년 2월 5일 오후 2시 14분
460	그레이브즈	46	4.5	1.64	패배	2017년 2월 5일 오후 1시 35분
461	그레이브즈	58	4.5	3.17	승리	2017년 2월 5일 오후 12시 41분
462	이즈리얼	57	5.7	6.50	승리	2017년 2월 4일 오후 8시 38분
463	코르키	47	6.4	5.00	승리	2017년 2월 4일 오후 7시 54분
464	직스	45	6.2	1.67	패배	2017년 2월 4일 오후 7시 13분
465	리 신	66	3.7	2.33	승리	2017년 2월 4일 오후 6시 31분
466	카직스	52	3.7	2.88	승리	2017년 2월 4일 오후 5시 37분
467	마오카이	45	5.2	1.89	승리	2017년 2월 4일 오후 3시 23분
468	바이	50	3.7	1.17	패배	2017년 2월 4일 오후 2시 39분
469	이렐리아	44	5.2	0.58	패배	2017년 2월 4일 오전 2시 24분
470	이즈리얼	33	6.8	1.67	승리	2017년 2월 4일 오전 1시 19분
471	이즈리얼	52	7.7	6.50	승리	2017년 2월 4일 오전 12시 34분
472	직스	50	5.6	0.91	패배	2017년 2월 3일 오후 11시 51분
473	직스	47	6.4	5.00	승리	2017년 2월 3일 오후 11시 10분
474	루시안	53	5.9	3.13	승리	2017년 2월 3일 오후 10시 02분
475	루시안	33	7.6	1.00	패배	2017년 2월 3일 오후 7시 28분
476	케이틀린	59	8.6	4.75	승리	2017년 2월 3일 오후 5시 35분
477	리 신	66	3.6	2.90	승리	2017년 2월 3일 오후 4시 07분
478	바이	65	4.2	1.38	패배	2017년 2월 3일 오후 3시 06분
479	직스	51	6.5	1.50	패배	2017년 2월 3일 오후 2시 36분
480	세주아니	0	6	0.00	패배	2017년 2월 3일 오후 1시 42분
481	쓰레쉬	59	0.3	1.11	패배	2017년 2월 3일 오후 1시 09분
482	그레이브즈	24	5.2	6.00	승리	2017년 2월 3일 오전 3시 50분
483	진	68	6.9	2.78	패배	2017년 2월 3일 오전 2시 55분
484	루시안	50	7.8	1.63	패배	2017년 2월 3일 오전 2시 05분
485	루시안	50	6.7	4.20	승리	2017년 2월 3일 오전 12시 33분
486	그레이브즈	53	6.6	1.33	패배	2017년 2월 2일 오후 11시 41분
487	그레이브즈	38	3.7	1.45	패배	2017년 2월 2일 오후 10시 56분
488	리 신	44	3.2	4.67	승리	2017년 2월 2일 오후 10시 12분
489	그레이브즈	45	5.3	3.00	승리	2017년 2월 2일 오후 9시 34분
490	그레이브즈	47	3.3	1.89	패배	2017년 2월 2일 오후 7시 54분
491	그레이브즈	51	6.6	5.40	승리	2017년 2월 2일 오후 7시 02분
492	그레이브즈	43	5.8	3.25	승리	2017년 2월 2일 오후 6시 20분
493	마오카이	67	4.5	5.17	승리	2017년 2월 2일 오후 5시 31분
494	진	81	5.6	2.17	패배	2017년 2월 2일 오후 4시 30분
495	코르키	74	7	1.75	패배	2017년 2월 2일 오후 3시 50분
496	그레이브즈	40	4.4	2.11	승리	2017년 2월 2일 오후 2시 52분
